ingredient,root
chrysopogon zizanioides,khus syrup
kidney bean,kidney bean
phaseolus vulgaris,kidney bean
kidney,kidney bean
kidneys,kidneys
kielbasa,kielbasa
knublewurst,kielbasa
kolbasa,kielbasa
kolbasz,kielbasa
polish sausage,kielbasa
polnische wurst,kielbasa
kim chee,kim chee
korean pickled cabbage,kim chee
korean pickled vegetables,kim chee
kimia dates,kimia dates
phoenix dactylifera,kimia dates
king crab,king crab
alaskan king crab,king crab
japanese king crab,king crab
red king crab,king crab
russian crab,king crab
kippered black cod,kippered black cod
alaska smoked cod,kippered black cod
smoked sable,kippered black cod
smoked sablefish,kippered black cod
kippered herring,kippered herring
clupeidae,kippered herring
kirby cucumber,kirby cucumber
pickling,kirby cucumber
kirsch,kirsch
cherry brandy,kirsch
kirschwasser,kirsch
schwarzwalder,kirsch
kishimen,kishimen
japanese,kishimen
kishke,kishke
der·ma,kishke
kishka,kishke
kiska,kishke
kiske,kishke
kiszka,kishke
stuffed derma,kishke
kitchen bouquet,kitchen bouquet
kitchen scale,kitchen scale
electronic scale,kitchen scale
kiwano,kiwano
african horned cucumber,kiwano
african horned melon,kiwano
cherie,kiwano
english tomato,kiwano
hedged gourd,kiwano
horned melon,kiwano
jelly melon,kiwano
kiwano melon,kiwano
melano,kiwano
spiked melon,kiwano
kiwi fruit,kiwi fruit
chinese gooseberry,kiwi fruit
kiwi,kiwi fruit
kiwifruit,kiwi fruit
monkey peach,kiwi fruit
yang-tao,kiwi fruit
kluwak nuts,kluwak nuts
keluak,kluwak nuts
kepayang,kluwak nuts
kluwak kupas,kluwak nuts
pangi,kluwak nuts
payang,kluwak nuts
knackwurst,knackwurst
knoblauch,knackwurst
knockwurst,knackwurst
knife sharpener,knife sharpener
kochkäse,kochkäse
kochkase,kochkäse
kohlrabi,kohlrabi
cabbage turnip,kohlrabi
german turnip,kohlrabi
stem cabbage,kohlrabi
turnip cabbage,kohlrabi
kohlrabi greens,kohlrabi greens
brassica oleracea,kohlrabi greens
gongylodes,kohlrabi greens
kokum,kokum
cocum,kokum
kokum ful,kokum
kola nut,kola nut
cola acuminata,kola nut
kolbasz,kolbasz
hungarian,kolbasz
kommisbrot,kommisbrot
german,kommisbrot
konbu,konbu
dasima,konbu
haidai,konbu
kelp,konbu
kombu,konbu
oarweed,konbu
sea cabbage,konbu
sea tangle,konbu
tangle,konbu
kontomire,kontomire
african spinach,kontomire
korean barbecue sauce,korean barbecue sauce
bulgogi sauce,korean barbecue sauce
bulkogi sauce,korean barbecue sauce
korean buckwheat noodles,korean buckwheat noodles
naeng myun,korean buckwheat noodles
naengmyon,korean buckwheat noodles
korean noodles,korean noodles
myun,korean noodles
korean sweet potato vermicelli,korean sweet potato vermicelli
dang myun,korean sweet potato vermicelli
dangmyun,korean sweet potato vermicelli
korean vermicelli,korean sweet potato vermicelli
sweet potato vermicelli,korean sweet potato vermicelli
tang myun,korean sweet potato vermicelli
tangmyun,korean sweet potato vermicelli
kosher salt,kosher salt
kosher wine,kosher wine
passover wine,kosher wine
krakauer,krakauer
kreplach wrappers,kreplach wrappers
jewish,kreplach wrappers
kudzu powder,kudzu powder
kuzu powder,kudzu powder
kugelhopf,kugelhopf
german,kugelhopf
kuka,kuka
adansonia digitata,kuka
kulich,kulich
russian easter bread,kulich
kumiss,kumiss
arjan,kumiss
koumis,kumiss
koumiss,kumiss
koumyss,kumiss
kümmel,kümmel
allasch kümmel,kümmel
gilka kümmel,kümmel
kummel,kümmel
kumquat,kumquat
citrus japonica,kumquat
kumquat liqueur,kumquat liqueur
kumquats in syrup,kumquats in syrup
kura olives,kura olives
olea europaea,kura olives
la-lot leaf,la-lot leaf
la lot leaf,la-lot leaf
pepper leaf,la-lot leaf
wild betel,la-lot leaf
lablab bean,lablab bean
bonavist bean,lablab bean
egyptian bean,lablab bean
fuji mame,lablab bean
hyacinth bean,lablab bean
indian bean,lablab bean
val,lablab bean
lachsschinken,lachsschinken
sus scrofa domesticus,lachsschinken
ladle,ladle
soup ladle,ladle
lady apple,lady apple
malus domestica,lady apple
ladyfingers,ladyfingers
savoiardi,ladyfingers
savoiardi biscuits,ladyfingers
savoiardi cookies,ladyfingers
sponge fingers,ladyfingers
laganelle,laganelle
italian,laganelle
lager beer,lager beer
dark lager beers,lager beer
light beer,lager beer
lite beer,lager beer
pilsener beer,lager beer
pilsner beer,lager beer
pilsner urquell beer,lager beer
lagerkaese,lagerkaese
beer kaese,lagerkaese
lager kaese,lagerkaese
laguiole,laguiole
bos taurus,laguiole
laksa leaf,laksa leaf
daun kesom,laksa leaf
laksa leaf,laksa leaf
praew leaf,laksa leaf
rau ram,laksa leaf
vietnamese cilantro,laksa leaf
vietnamese coriander,laksa leaf
vietnamese mint,laksa leaf
water pepper,laksa leaf
laksa noodles,laksa noodles
indonesian,laksa noodles
lamb,lamb
hogget,lamb
mutton,lamb
sheep meat,lamb
lamb blade chop,lamb blade chop
lamb shoulder blade chop,lamb blade chop
lamb shoulder block,lamb blade chop
shoulder blade lamb chop,lamb blade chop
shoulder lamb chop,lamb blade chop
lamb breast,lamb breast
breast of lamb,lamb breast
lamb breast cuts,lamb breast
lamb chop,lamb chop
ovis aries,lamb chop
lamb cubes for kabobs,lamb cubes for kabobs
ovis aries,lamb cubes for kabobs
lamb heart,lamb heart
ovis aries,lamb heart
lamb kidneys,lamb kidneys
ovis aries,lamb kidneys
lamb leg,lamb leg
american leg (the bone at the end is simply lopped off),lamb leg
frenched leg (a leg of any size has some meat cut away to expose the bone at the end),lamb leg
leg of lamb,lamb leg
lamb leg chop,lamb leg chop
lamb leg steak,lamb leg chop
lamb round leg steak,lamb leg chop
lamb liver,lamb liver
ovis aries,lamb liver
lamb loin,lamb loin
lamb loin cuts,lamb loin
lamb loin chop,lamb loin chop
double loin chop (a chop cut from the saddle (incorporating the loin roasts from both sides of the lamb),lamb loin chop
english chop (a chop cut from the saddle (incorporating the loin roasts from both sides of the lamb),lamb loin chop
noisette (a single loin chop is boned and rolled),lamb loin chop
lamb loin roast,lamb loin roast
boneless loin roast (a boneless,lamb loin roast
a loin roast),lamb loin roast
double loin roast ( combines the loin roasts from either side of the lamb),lamb loin roast
double loin roll (made from the saddle),lamb loin roast
loin roll (a boneless,lamb loin roast
a loin roast),lamb loin roast
rolled double lamb roast (made from the saddle),lamb loin roast
rolled lamb roast (a boneless,lamb loin roast
a loin roast),lamb loin roast
saddle of lamb ( combines the loin roasts from either side of the lamb),lamb loin roast
lamb neck slices,lamb neck slices
lamb neck for stew,lamb neck slices
lamb neck pieces,lamb neck slices
lamb stew bone-in,lamb neck slices
neck of lamb,lamb neck slices
lamb rib chop,lamb rib chop
french lamb chop (the meat at the tip is cut away to expose the bone),lamb rib chop
frenched lamb chop (the meat at the tip is cut away to expose the bone),lamb rib chop
lamb rib cuts,lamb rib cuts
lamb rack,lamb rib cuts
lamb ribs,lamb rib cuts
lamb shank,lamb shank
lamb fore shank,lamb shank
lamb foreshank,lamb shank
lamb hind shank,lamb shank
lamb hindshank,lamb shank
lamb trotter,lamb shank
lamb shoulder,lamb shoulder
lamb shoulder cuts,lamb shoulder
lamb shoulder chop,lamb shoulder chop
lamb arm chop,lamb shoulder chop
lamb arm cut chop,lamb shoulder chop
lamb round bone chop,lamb shoulder chop
lamb shoulder block,lamb shoulder chop
lamb shoulder roast,lamb shoulder roast
boneless rolled shoulder,lamb shoulder roast
lamb shoulder block,lamb shoulder roast
lamb square-cut shoulder,lamb shoulder roast
pre-carved shoulder roast,lamb shoulder roast
pre-sliced shoulder roast,lamb shoulder roast
lamb sirloin chop,lamb sirloin chop
lamb leg chop,lamb sirloin chop
lamb leg sirloin chop,lamb sirloin chop
lamb loin end steak,lamb sirloin chop
lamb sirloin steak,lamb sirloin chop
lamb steak,lamb sirloin chop
large loin lamb chop,lamb sirloin chop
lamb sirloin roast,lamb sirloin roast
ovis aries,lamb sirloin roast
lamb spareribs,lamb spareribs
lamb riblets,lamb spareribs
lamb stew meat,lamb stew meat
lamb for stew,lamb stew meat
lamb stock,lamb stock
ovis aries,lamb stock
lamprey,lamprey
petromyzontiformes,lamprey
lamuyo pepper,lamuyo pepper
european sweet pepper,lamuyo pepper
rouge royal,lamuyo pepper
lancashire,lancashire
bos taurus,lancashire
landjager,landjager
landjaeger,landjager
landjäger,landjager
langsat,langsat
duku,langsat
lansek,langsat
lanson,langsat
lanzon,langsat
lanzone,langsat
lap cheong,lap cheong
chinese dried sausages,lap cheong
chinese sausage,lap cheong
lap chong,lap cheong
lap chung,lap cheong
lop chong,lap cheong
lappi,lappi
bos taurus,lappi
lard,lard
pork lard,lard
lard leaves,lard leaves
barding strips,lard leaves
lardons,lard leaves
leaf lard,lard leaves
lardo,lardo
lardo di colonnata,lardo
lasagne,lasagne
lasagne (plural),lasagne
no-boil lasagne,lasagne
oven-ready lasagne,lasagne
precooked lasagne,lasagne
lasagnette,lasagnette
late harvest wine,late harvest wine
eiswein,late harvest wine
ice wine,late harvest wine
icewine,late harvest wine
lavender,lavender
laver,laver
aonori,laver
green laver,laver
nori,laver
parae,laver
purple laver,laver
purple seaweed,laver
redware,laver
leaf lettuce,leaf lettuce
bunching lettuce,leaf lettuce
cutting lettuce,leaf lettuce
lechuga,leaf lettuce
looseleaf lettuce,leaf lettuce
salad-bowl lettuce,leaf lettuce
lebanon bologna,lebanon bologna
bos taurus,lebanon bologna
leberkäse,leberkäse
leberkase,leberkäse
lecithin,lecithin
leek,leek
allium ampeloprasum,leek
leerdammer,leerdammer
bos taurus,leerdammer
lefse,lefse
norwegian,lefse
legumes,legumes
leicester,leicester
leicestershire,leicester
red leicester,leicester
lemon,lemon
citrus limon,lemon
lemon balm,lemon balm
balm,lemon balm
balm mint,lemon balm
bee balm,lemon balm
common balm,lemon balm
melissa,lemon balm
lemon basil,lemon basil
bai maengluk,lemon basil
bai manglak,lemon basil
hoary basil,lemon basil
kemangi,lemon basil
lao basil,lemon basil
lemon blossoms,lemon blossoms
citrus limon,lemon blossoms
lemon cucumber,lemon cucumber
pickling,lemon cucumber
raw,lemon cucumber
lemon extract,lemon extract
citrus limon,lemon extract
lemon juice,lemon juice
citrus limon,lemon juice
lemon liqueur,lemon liqueur
liquore di limoni,lemon liqueur
lemon marmalade,lemon marmalade
"lemon peel, dried","lemon peel, dried"
lemon pepper,lemon pepper
lemon thyme,lemon thyme
citrus thyme,lemon thyme
lemon verbena,lemon verbena
lemon beebrush,lemon verbena
verbena,lemon verbena
lemon zest,lemon zest
citrus limon,lemon zest
lemongrass,lemongrass
barbed wire grass,lemongrass
citronella,lemongrass
cochin grass,lemongrass
fever grass,lemongrass
lemon grass,lemongrass
malabar grass,lemongrass
serai,lemongrass
sereh,lemongrass
takrai,lemongrass
tanglad,lemongrass
lentils,lentils
lens culinaris,lentils
lesser galangal,lesser galangal
kencur root,lesser galangal
kentjur root,lesser galangal
lesser galangale,lesser galangal
zedoary,lesser galangal
lettuce,lettuce
lactuca sativa,lettuce
leyden,leyden
leiden,leyden
licor 43,licor 43
cuarenta y tres,licor 43
liederkranz,liederkranz
bos taurus,liederkranz
lievito di vaniglia,lievito di vaniglia
lievito vanigliato,lievito di vaniglia
light beer,light beer
lite beer,light beer
light brown sugar,light brown sugar
golden brown sugar,light brown sugar
light coconut milk,light coconut milk
lite coconut milk,light coconut milk
light corn syrup,light corn syrup
light karo syrup,light corn syrup
light cream,light cream
coffee cream,light cream
table cream,light cream
light whipping cream,light whipping cream
whipping cream,light whipping cream
lighter bake,lighter bake
sunsweet lighter bake,lighter bake
ligurian olives,ligurian olives
liguria olive,ligurian olives
taggiasca olive,ligurian olives
lilac,lilac
lillet,lillet
lillet blonde,lillet
lillet rouge,lillet
lima bean,lima bean
baby lima bean,lima bean
butter bean,lima bean
fordhooks,lima bean
madagascar bean,lima bean
sieva bean,lima bean
wax bean,lima bean
limburger,limburger
bos taurus,limburger
lime,lime
persian lime,lime
lime juice,lime juice
persian lime juice,lime juice
lime zest,lime zest
citrus latifolia,lime zest
limequat,limequat
citrus floridana,limequat
limoncello,limoncello
limoncino,limoncello
limpa bread,limpa bread
swedish limpa bread,limpa bread
swedish rye bread,limpa bread
sweet rye bread,limpa bread
lingcod,lingcod
buffalo cod,lingcod
cultus cod,lingcod
ling cod,lingcod
lingonberry,lingonberry
cowberry,lingonberry
mountain cranberry,lingonberry
partridgeberry,lingonberry
lingot bean,lingot bean
linguiça,linguiça
linguine,linguine
italian,linguine
liqueur,liqueur
cordial,liqueur
liquid honey,liquid honey
liquid smoke,liquid smoke
liquid sweeteners,liquid sweeteners
liquor,liquor
booze,liquor
hard alcohol,liquor
hard liquor,liquor
spirits,liquor
litchi,litchi
laichee,litchi
leechee,litchi
lichee,litchi
lichi,litchi
lychee,litchi
litchi nut,litchi nut
leechee nut,litchi nut
lichee nut,litchi nut
lichi nut,litchi nut
lychee nut,litchi nut
littleneck clams,littleneck clams
hard clam,littleneck clams
hard-shell clam,littleneck clams
topnecks,littleneck clams
livarot,livarot
bos taurus,livarot
liver,liver
liverwurst,liverwurst
braunschweiger,liverwurst
leberwurst,liverwurst
liver sausage,liverwurst
lo mein noodles,lo mein noodles
asian,lo mein noodles
loaf pan,loaf pan
bread pan,loaf pan
lobster,lobster
nephropidae,lobster
lobster coral,lobster coral
lobster mushroom,lobster mushroom
hypomyces lactifluorum,lobster mushroom
lochan-ora,lochan-ora
scottish,lochan-ora
loganberry,loganberry
rubus loganobaccus,loganberry
loganberry jam,loganberry jam
rubus loganobaccus,loganberry jam
lollo rosso,lollo rosso
lactuca sativa,lollo rosso
long pepper,long pepper
indian long pepper,long pepper
long white potato,long white potato
california long whites,long white potato
white rose,long white potato
long-grain rice,long-grain rice
long grain rice,long-grain rice
longan,longan
dragon's eyes,longan
lungan,longan
longanisa,longanisa
longaniza,longanisa
loquat,loquat
chinese plum,loquat
japanese medlar,loquat
japanese plum,loquat
nespolo,loquat
pipa,loquat
lotus leaves,lotus leaves
nelumbo nucifera,lotus leaves
lotus root,lotus root
lotus,lotus root
quangdong,lotus root
tenno,lotus root
lotus seeds,lotus seeds
nelumbo nucifera,lotus seeds
loukanika,loukanika
greek,loukanika
lovage,lovage
smallage,lovage
smellage,lovage
wild celery,lovage
lovage seed,lovage seed
low-fat yogurt,low-fat yogurt
bos taurus,low-fat yogurt
lox,lox
salmonidae,lox
lucque olives,lucque olives
olea europaea,lucque olives
lugano olives,lugano olives
olea europaea,lugano olives
lumache,lumache
lumaconi,lumaconi
giant snails,lumaconi
lumpfish roe,lumpfish roe
lumpia wrapper,lumpia wrapper
philippine,lumpia wrapper
lupini bean,lupini bean
lupinus,lupini bean
mabolo,mabolo
velvet apple,mabolo
macadamia nut,macadamia nut
australian nut,macadamia nut
bauple nut,macadamia nut
bush nut,macadamia nut
hawaii nut,macadamia nut
maroochi nut,macadamia nut
queensland nut,macadamia nut
macaroni,macaroni
elbow macaroni,macaroni
maccheroni ((italian spelling)),macaroni
macaroon,macaroon
maccheroncelli,maccheroncelli
italian,maccheroncelli
mace,mace
myristica fragrans,mace
mackerel,mackerel
scombridae,mackerel
macoun apple,macoun apple
malus domestica,macoun apple
madeira,madeira
boal madeira,madeira
bual madeira,madeira
malmsey madeira,madeira
malvasia madeira,madeira
rainwater madeira,madeira
sercial madeira,madeira
verdelho madeira,madeira
madeleine,madeleine
mafalde,mafalde
mafalda,mafalde
mafaldine,mafalde
maggi's seasoning sauce,maggi's seasoning sauce
magliette,magliette
italian,magliette
maguey leaves,maguey leaves
mahi-mahi,mahi-mahi
dolphin fish,mahi-mahi
dolphinfish,mahi-mahi
dorado,mahi-mahi
mahimahi,mahi-mahi
mahlab,mahlab
mahleb,mahlab
mahlepi,mahlab
mahon,mahon
mahón,mahon
mahón-menorca,mahon
maicoba bean,maicoba bean
azufrado bean,maicoba bean
canaria bean,maicoba bean
canario bean,maicoba bean
mayocoba bean,maicoba bean
peruano bean,maicoba bean
peruvian bean,maicoba bean
mainzer,mainzer
maitake mushroom,maitake mushroom
hen-of-the-woods mushroom,maitake mushroom
kumotake mushroom,maitake mushroom
ram's head mushroom,maitake mushroom
sheep's head mushroom,maitake mushroom
malabar spinach,malabar spinach
alogbati,malabar spinach
basella alba,malabar spinach
ceylon spinach,malabar spinach
mong toi,malabar spinach
saan choy,malabar spinach
slippery vegetable,malabar spinach
vietnamese spinach,malabar spinach
vine spinach,malabar spinach
malanga,malanga
tanier,malanga
tannia,malanga
tannier,malanga
yautia,malanga
malaysian noodles,malaysian noodles
mee,malaysian noodles
malbec,malbec
malfatti,malfatti
italian,malfatti
mallet,mallet
meat hammer,mallet
meat mallet,mallet
meat tenderizer,mallet
malloreddus,malloreddus
gnocchetti sardi,malloreddus
malt,malt
malt liquor,malt liquor
malt powder,malt powder
diastatic malt,malt powder
malt flour,malt powder
non-diastatic malt,malt powder
malt sugar,malt sugar
genuine maltose,malt sugar
maltose,malt sugar
malt vinegar,malt vinegar
alegar,malt vinegar
brown malt vinegar,malt vinegar
distilled malt vinegar,malt vinegar
maltagliati,maltagliati
italian,maltagliati
mamey sapote,mamey sapote
mamey,mamey sapote
mammee,mamey sapote
manchego (aged),manchego (aged)
manchego cheese,manchego cheese
ovis aries,manchego cheese
mandarin orange,mandarin orange
tangerine,mandarin orange
temple orange,mandarin orange
mandarin orange juice,mandarin orange juice
citrus reticulata,mandarin orange juice
mandarin pancakes,mandarin pancakes
doilies,mandarin pancakes
moo shu shells,mandarin pancakes
mu shu shells,mandarin pancakes
peking doilies,mandarin pancakes
peking duck wrappers,mandarin pancakes
mandarine liqueur,mandarine liqueur
mandarine napoléon,mandarine liqueur
mandelbrot,mandelbrot
jewish,mandelbrot
mandoline,mandoline
mandoline slicer,mandoline
mango,mango
mangifera,mango
mangosteen,mangosteen
mangostan,mangosteen
manicotti,manicotti
italian,manicotti
manila clam,manila clam
japanese carpet shell,manila clam
japanese cockle,manila clam
japanese littleneck clam,manila clam
manouri cheese,manouri cheese
greek,manouri cheese
manti,manti
turkish,manti
manzana chili,manzana chili
manzana chile,manzana chili
manzanilla olives,manzanilla olives
spanish olive,manzanilla olives
mape,mape
aila,mape
gayam fruit,mape
otaheite chestnut,mape
polynesian chestnut,mape
tahitian chestnut,mape
maple sugar,maple sugar
acer saccharum,maple sugar
maple syrup,maple syrup
acer saccharum,maple syrup
maraschino cherry,maraschino cherry
maraschino liqueur,maraschino liqueur
luxardo maraschino,maraschino liqueur
stock maraschino,maraschino liqueur
maraschino syrup,maraschino syrup
marc,marc
french,marc
marche olives,marche olives
olea europaea,marche olives
margarine,margarine
diet margarine,margarine
lite margarine,margarine
oleomargarine,margarine
soft margarine,margarine
whipped margarine,margarine
margarita salt,margarita salt
margherite,margherite
margheritine,margherite
marigold blossom,marigold blossom
marinades,marinades
marionberry,marionberry
rubus l. subgenus rubus,marionberry
marjoram,marjoram
knot marjoram,marjoram
knotted marjoram,marjoram
pot marjoram,marjoram
sweet marjoram,marjoram
marlin,marlin
kajiki,marlin
pacific blue marlin,marlin
maroilles,maroilles
marolles,maroilles
marrow bean,marrow bean
marsala,marsala
italian,marsala
marshmallow,marshmallow
marshmallow crème,marshmallow crème
marshmallow fluff,marshmallow crème
mary ann pan,mary ann pan
obsttorten form,mary ann pan
sponge flan tin,mary ann pan
marzipan,marzipan
almond modeling paste,marzipan
marchpane,marzipan
masa,masa
coarser and thicker,masa
masa harina,masa
masa molida (softer),masa
masa preparada,masa
masa harina,masa harina
hispanic,masa harina
masala,masala
sambar masala,masala
mascarpone,mascarpone
italian cream cheese,mascarpone
marscapone,mascarpone
mascherpone,mascarpone
masoor,masoor
masar,masoor
mussoor,masoor
masoor dal,masoor dal
masar dal,masoor dal
masur dal,masoor dal
mussoor dal,masoor dal
pink lentil,masoor dal
mastic gum,mastic gum
mistika,mastic gum
mustic gum,mastic gum
mustikah,mastic gum
mastika,mastika
masticha,mastika
matcha,matcha
green tea powdered,matcha
matcha powder,matcha
mathilde orange liqueur,mathilde orange liqueur
matsutake mushroom,matsutake mushroom
pine mushroom,matsutake mushroom
matzo,matzo
matzoh,matzo
matzo ball,matzo ball
knaidel,matzo ball
knaidlach,matzo ball
knaidlech,matzo ball
kneidlach,matzo ball
matzoh ball,matzo ball
matzo meal,matzo meal
matzoh meal,matzo meal
mayonnaise,mayonnaise
maytag blue,maytag blue
bos taurus,maytag blue
mcintosh apple,mcintosh apple
malus domestica,mcintosh apple
mead,mead
honey wine,mead
meal,meal
measuring cup,measuring cup
measuring spoons,measuring spoons
meat grinder,meat grinder
meat smoker,meat smoker
smoker,meat smoker
meat tenderizer,meat tenderizer
meat thermometer,meat thermometer
medisterpoelse sausage,medisterpoelse sausage
sus scrofa domesticus,medisterpoelse sausage
mediterranean cucumber,mediterranean cucumber
medium rice sticks,medium rice sticks
dried rice noodles,medium rice sticks
gway tio,medium rice sticks
haw fun,medium rice sticks
ho fun,medium rice sticks
hor fun,medium rice sticks
kuey teow,medium rice sticks
kui teow,medium rice sticks
kway teow,medium rice sticks
kway tio,medium rice sticks
lai fen,medium rice sticks
laifen,medium rice sticks
mekong rice stick,medium rice sticks
rice fettuccine,medium rice sticks
sen lek,medium rice sticks
thai flat rice sticks,medium rice sticks
medium-grain rice,medium-grain rice
oryza sativa,medium-grain rice
medjool dates,medjool dates
majhul,medjool dates
medjool,medjool dates
rhutab medjool,medjool dates
rutab medjool,medjool dates
melba toast,melba toast
melegueta pepper,melegueta pepper
grains of paradise,melegueta pepper
guinea pepper,melegueta pepper
malagueta pepper,melegueta pepper
malaguetta pepper,melegueta pepper
melons,melons
cucumis melo,melons
meloukhia,meloukhia
jew's mallow,meloukhia
jute,meloukhia
jute mallow,meloukhia
molukhia,meloukhia
nalta jute,meloukhia
menudo mix,menudo mix
menudo spices,menudo mix
merguez sausage,merguez sausage
mirkâs,merguez sausage
meringue powder,meringue powder
merlot,merlot
metaxa,metaxa
greek,metaxa
mettwurst,mettwurst
metts,mettwurst
mexican avocado,mexican avocado
persea americana,mexican avocado
mexican chocolate,mexican chocolate
cholocate,mexican chocolate
mexican,mexican chocolate
mexican style sweet chocolate,mexican chocolate
mexicola avocado,mexicola avocado
cocktail avocado,mexicola avocado
mexicola cocktail avocado,mexicola avocado
meyer lemon,meyer lemon
citrus meyeri,meyer lemon
mezcal,mezcal
mescal,mezcal
mezzani,mezzani
italian,mezzani
mezzelune,mezzelune
mi chay,mi chay
mì chay,mi chay
microwave oven,microwave oven
midori,midori
japanese,midori
"milk 0.5%, nonfat","milk 0.5%, nonfat"
"milk 2%, low-fat","milk 2%, low-fat"
milk 3.5%,milk 3.5%
milk chocolate,milk chocolate
chocolate,milk chocolate
milk,milk chocolate
"milk, sweetened condensed","milk, sweetened condensed"
millet,millet
eleusine coracana,millet
millet flour,millet flour
milnot,milnot
capra aegagrus hircus,milnot
mimolette cheese,mimolette cheese
boule de lille,mimolette cheese
mimosa blossoms,mimosa blossoms
mincemeat,mincemeat
mint,mint
mentha spicata,mint
mint sauce,mint sauce
mentha spicata,mint sauce
mint syrup,mint syrup
mentha spicata,mint syrup
mint-flavored apple jelly,mint-flavored apple jelly
mint-flavored liqueurs,mint-flavored liqueurs
mirasol pepper ,mirasol pepper 
mirin,mirin
sweet rice wine,mirin
sweet sake,mirin
miscellaneous lamb cuts,miscellaneous lamb cuts
lamb miscellaneous cuts,miscellaneous lamb cuts
miscellaneous liqueurs,miscellaneous liqueurs
miscellaneous pork cuts,miscellaneous pork cuts
pork miscellaneous cuts,miscellaneous pork cuts
miscellaneous veal cuts,miscellaneous veal cuts
veal miscellaneous cuts,miscellaneous veal cuts
miso,miso
bean paste,miso
soybean paste,miso
misri,misri
indian,misri
mission olives,mission olives
olea europaea,mission olives
miswa,miswa
philippine,miswa
mitsuba,mitsuba
east asian wildparsley,mitsuba
honewort,mitsuba
japanese honewort,mitsuba
san ye qin,mitsuba
stone parsley,mitsuba
trefoil,mitsuba
white chervil,mitsuba
mixed spice,mixed spice
british mixed spice,mixed spice
pudding spice,mixed spice
mixing bowl,mixing bowl
miyoga,miyoga
japanese ginger,miyoga
miyoga ginger,miyoga
myoga,miyoga
myoga ginger,miyoga
mizithra (aged),mizithra (aged)
mizithra cheese (soft),mizithra cheese (soft)
mizuna,mizuna
japanese greens,mizuna
japanese mustard greens,mizuna
kyona,mizuna
spider mustard,mizuna
moath,moath
math seed,moath
matki,moath
moth bean,moath
molasses,molasses
barbados molasses,molasses
dark molasses,molasses
full molasses,molasses
full-flavored molasses,molasses
light molasses,molasses
mild molasses,molasses
sweet molasses,molasses
mold,mold
mole sauce,mole sauce
mexican,mole sauce
monkfish,monkfish
anglerfish,monkfish
bellyfish,monkfish
frogfish,monkfish
goosefish,monkfish
sea-devil,monkfish
monkfish liver,monkfish liver
ankimo,monkfish liver
foie de lotte,monkfish liver
monkfish foie gras,monkfish liver
monosodium glutamate,monosodium glutamate
msg,monosodium glutamate
monstera,monstera
ceriman,monstera
mexican breadfruit,monstera
monster fruit,monstera
montbriac,montbriac
montbriac rochebaron,montbriac
moon cake,moon cake
chinese,moon cake
moon drop® grapes,moon drop® grapes
moong dal,moong dal
moose,moose
alces alces,moose
mora chili,mora chili
capsicum annuum,mora chili
jalapeño,mora chili
morbier cheese,morbier cheese
bos taurus,morbier cheese
morcelas,morcelas
portuguese,morcelas
morcilla,morcilla
spanish,morcilla
morels,morels
morchella esculenta,morels
morita pepper,morita pepper
chile morita,morita pepper
morita chili,morita pepper
moroccan dry-cured olives,moroccan dry-cured olives
moroccan oil-cured olive,moroccan dry-cured olives
moroccan salt-cured olive,moroccan dry-cured olives
moroccan green olives,moroccan green olives
olea europaea,moroccan green olives
mortadella,mortadella
mortadella bologna,mortadella
mortar and pestle,mortar and pestle
mortgage runner bean,mortgage runner bean
mortgage lifter bean,mortgage runner bean
mostaccioli,mostaccioli
italian,mostaccioli
moya,moya
mozzarella,mozzarella
bocconcini,mozzarella
buffalo milk mozzarella,mozzarella
cow's milk mozzarella,mozzarella
fior di latte,mozzarella
koch kase,mozzarella
low-moisture mozzarella,mozzarella
mozzarella di bufalo,mozzarella
mparrettai,mparrettai
italian,mparrettai
muenster,muenster
munster,muenster
münster,muenster
muffin pan,muffin pan
mulato chili ,mulato chili 
mulberry,mulberry
morus,mulberry
mullet,mullet
black mullet,mullet
grey mullet,mullet
red mullet,mullet
striped mullet,mullet
white mullet,mullet
mulling spice mix,mulling spice mix
mung bean,mung bean
green gram,mung bean
mung pea,mung bean
mungo bean,mung bean
mung bean sprouts,mung bean sprouts
bean sprouts,mung bean sprouts
mung dal flour,mung dal flour
vigna radiata,mung dal flour
muscadet,muscadet
french,muscadet
muscadine jelly,muscadine jelly
muscat,muscat
moscatel,muscat
moscato,muscat
muscadel,muscat
muscatel,muscat
muscat raisins,muscat raisins
vitis vinifera,muscat raisins
muscovado sugar,muscovado sugar
mushroom brush,mushroom brush
mushroom soy sauce,mushroom soy sauce
mushrooms,mushrooms
sauces,mushrooms
stews,mushrooms
mussels,mussels
mytilidae,mussels
mustard greens,mustard greens
curled mustard,mustard greens
mustard oil,mustard oil
brassica,mustard oil
mustard powder,mustard powder
brassica,mustard powder
mustard seeds,mustard seeds
brassica,mustard seeds
"mustard, prepared","mustard, prepared"
mutsu apple,mutsu apple
crispin apple,mutsu apple
mutton,mutton
ovis aries,mutton
mysost,mysost
brunost,mysost
primost,mysost
naan,naan
indian,naan
nafplion green olives,nafplion green olives
nafpelion,nafplion green olives
nafphlion,nafplion green olives
nam prik,nam prik
nam phrik,nam prik
nam phrik pao,nam prik
nam prik pao,nam prik pao
thai chile paste,nam prik pao
thai chili paste,nam prik pao
nameko mushroom,nameko mushroom
butterscotch mushroom,nameko mushroom
huá zi mó,nameko mushroom
opyonok,nameko mushroom
